# duration_ms 2964.409107

── contract (bash) ───────────────────────────────────────────
test-capability.sh    18 passed, 0 failed
test-concurrency.sh   12 passed, 0 failed
test-dashboard.sh     177 passed, 0 failed
test-hooks2.sh        23 passed, 0 failed
test-hooks.sh         65 passed, 0 failed
test-install.sh       13 passed, 0 failed
test-link.sh          13 passed, 0 failed
test-mcp.sh           70 passed, 0 failed
test-read.sh          59 passed, 0 failed
test-store.sh         106 passed, 0 failed
test-worktree.sh      22 passed, 0 failed

all green
